CustomerID,Recency,Frequency,Monetary
12346,108,1,180.99
12347,60,31,14500.04
12348,74,8,1639.27
12350,18,11,1487.9499999999998
12356,108,13,2079.96
12359,131,3,697.81
12370,190,44,7607.29
12373,25,5,574.54
12377,41,37,10721.99
12383,100,39,5547.91
12386,157,6,682.89
12388,115,10,833.7099999999999
12393,123,13,2413.84
12395,165,14,1641.49
12402,95,6,750.07
12410,11,14,2558.02
12413,132,10,3168.11
12414,18,6,645.86
12415,141,24,3131.0
12417,75,15,1942.03
12421,77,6,2099.6400000000003
12422,103,9,1110.61
12423,173,8,865.66
12427,171,3,1440.33
12429,263,10,2732.7200000000003
12431,41,32,5909.39
12433,266,55,17779.06
12434,223,1,49.519999999999996
12437,18,14,2593.34
12441,278,11,1814.3
12451,104,57,10878.83
12464,14,6,1303.38
12468,52,7,1475.21
12471,16,70,14939.01
12472,63,67,13065.67
12474,61,27,7162.08
12476,34,13,3434.05
12477,27,2,265.78999999999996
12480,148,14,1542.43
12481,152,13,11561.1
12483,167,6,1071.38
12484,150,35,6399.46
12489,151,6,871.67
12490,124,22,3115.59
12494,165,5,456.90999999999997
12500,141,3,95.75999999999999
12501,42,71,11200.83
12502,16,21,5371.43
12503,158,1,16.630000000000003
12510,105,12,1592.53
12515,172,4,1367.1399999999999
12523,132,3,577.99
12524,140,5,643.75
12527,108,6,1697.47
12528,35,22,4742.32
12530,152,8,1426.88
12539,54,100,20437.99
12540,22,32,4595.59
12551,189,9,1771.94
12553,70,14,1814.03
12557,137,4,334.12
12559,21,11,2959.61
12567,11,71,13476.34
12574,46,5,1776.83
12577,203,33,6559.3
12578,57,40,6189.9400000000005
12583,152,15,3118.75
12585,161,26,4451.45
12586,303,1,25.49
12591,60,21,4798.26
12594,93,5,921.0799999999999
12600,16,8,891.36
12601,137,4,629.03
12605,257,2,301.19
12609,66,4,435.35
12621,188,20,2742.85
12625,16,24,6450.28
12626,28,34,5673.09
12637,57,26,4877.77
12643,136,1,72.78999999999999
12645,52,8,2549.38
12647,189,28,4239.1
12649,258,1,27.38
12651,145,7,2489.4700000000003
12652,88,26,3103.62
12662,13,16,3398.02
12664,91,5,795.99
12665,104,2,127.53
12666,206,2,49.98
12668,32,38,7366.34
12672,124,3,315.15
12673,114,11,1907.83
12676,22,10,1441.43
12678,173,3,232.98000000000002
12681,29,88,17588.57
12682,21,68,13237.87
12683,93,38,10691.3
12686,335,6,1028.02
12691,66,8,1417.53
12693,79,4,1762.95
12705,187,13,1824.8799999999999
12708,124,21,3042.67
12709,54,16,3355.49
12712,11,27,4117.44
12720,35,26,7413.99
12721,179,10,2127.39
12724,133,7,595.04
12725,326,14,5073.1900000000005
12726,45,16,2100.29
12727,82,8,991.72
12728,135,7,651.48
12731,35,38,13214.08
12734,172,2,103.94999999999999
12735,42,18,3257.33
12736,138,1,165.85000000000002
12738,336,8,1850.07
12744,69,34,10464.6
12747,95,10,1853.39
12748,108,328,83112.26
12753,153,20,2529.67
12754,11,17,4080.68
12755,264,1,56.48
12763,305,8,1184.69
12764,56,28,5806.639999999999
12766,143,28,4703.18
12775,14,7,1485.16
12778,31,3,611.51
12779,8,15,2651.31
12782,65,32,4501.13
12785,246,8,856.21
12791,363,2,153.29999999999998
12793,145,11,2533.39
12797,213,7,460.34000000000003
12808,303,5,603.49
12820,112,5,741.47
12826,54,31,8053.97
12829,90,6,1095.26
12836,26,19,3375.54
12838,361,28,5586.3099999999995
12839,186,23,4083.99
12841,35,49,13205.69
12842,9,9,2916.23
12853,29,12,2190.73
12854,69,23,4806.74
12855,349,3,909.8299999999999
12865,210,1,244.0
12867,213,24,3985.7799999999997
12868,50,19,6101.14
12870,270,1,62.97
12872,116,31,4772.71
12875,240,1,7.2
12877,123,11,1506.04
12908,33,1,241.0
12913,289,2,94.75999999999999
12915,344,7,1208.3999999999999
12916,87,19,4268.01
12921,165,30,6418.9
12924,118,1,28.349999999999998
12928,204,8,399.3
12929,26,5,942.87
12931,186,2,31.38
12935,77,2,8962.58
12939,146,2,263.64
12942,265,7,861.08
12944,179,7,1122.75
12947,66,25,5153.51
12951,81,6,1003.55
12956,1,14,3138.0
12957,153,13,1288.32
12963,265,6,982.8799999999999
12967,192,10,1635.45
12970,89,2,558.4
12971,13,31,4566.84
12980,131,4,1299.0900000000001
12989,118,2,175.59
12990,18,2,576.05
12997,41,7,937.27
13000,252,8,933.3199999999999
13001,66,23,2816.15
13002,66,5,891.88
13004,52,37,6208.11
13008,95,8,2193.55
13011,336,3,232.86
13013,332,28,5778.55
13021,202,6,1846.1599999999999
13027,178,4,339.66999999999996
13029,173,1,15.99
13030,292,16,2670.19
13033,188,5,673.0
13034,307,4,242.33
13047,14,26,3364.75
13048,117,17,3503.21
13049,66,3,263.17
13050,5,60,11204.34
13064,117,1,233.95000000000002
13065,350,7,1526.23
13068,82,1,7.0
13069,4,68,9416.64
13077,269,4,1610.96
13078,52,24,4520.62
13081,123,117,22177.12
13082,161,6,1069.99
13089,21,176,30472.73
13090,93,9,1462.55
13092,208,4,336.92
13093,20,65,12998.23
13094,154,4,453.66
13097,159,18,3472.49
13098,59,14,2506.87
13102,8,54,9158.539999999999
13104,179,1,125.0
13107,119,10,2871.92
13108,348,3,561.89
13110,22,8,1085.95
13113,8,29,21103.72
13115,153,2,254.62
